"","title","daivd","Alexander"
"1","Wrist rotation metrics as digital biomarkers for detecting physio-cognitive decline syndrome in older adults.","Excluded","Included"
"2","Automatic contour quality assurance using deep-learning based contours.","Excluded","Included"
"3","DNA methylation signatures of cervical pre-invasive and invasive disease: An epigenome-wide association study.","Excluded","Included"
"4","Bypassing the Delay: Directing Pediatric Intussusception Cases to the OR Through Inflammatory Marker Assessment.","Excluded","Included"
"5","Protect the pituitary stalks in craniopharyngioma resection by endoscopic endonasal approach.","Excluded","Included"
"6","The Vellore Pain Impact Questionnaire (V-PIQ): Initial validation of a tool for assessing the impact of low back pain based on the brief ICF core set.","Excluded","Included"
"7","AIF1L as a Ferroptosis-Linked Biomarker in Microsatellite States-Driven Colorectal Cancer: Functional and Diagnostic Insights From Multiomics Analysis.","Excluded","Included"
"8","New composite phenotypes enhance chronic kidney disease classification and genetic associations.","Excluded","Included"
"9","Host-derived Delta-like Canonical Notch ligand-1 in sepsis and septic shock: Infection site, pathogens and disease severity matter - Secondary analysis of data from a randomized controlled trial.","Excluded","Included"
"10","Identification of autophagy-related biomarker and analysis of immune infiltrates in diabetic nephropathy: PTGER1 protein macromolecular structure and function.","Excluded","Included"
"11","3D-printed electrochemical loop-mediated isothermal amplification (E-LAMP): A miniaturized and portable platform to detect methicillin-resistant Staphylococcus aureus (MRSA).","Included","Excluded"
"12","Neuronally-Derived Extracellular Vesicles Transforming Growth Factor Beta-1 Levels in Progressive Supranuclear Palsy.","Excluded","Included"
"13","The Optimal Cutoffs of Liver Stiffness Measurement for Staging Fibrosis in On-treatment Patients With Chronic Hepatitis B.","Excluded","Included"
"14","Multi-omics identifies severe asthma endotypes linked to Streptococcus dysbiosis and lipid metabolic dysregulation.","Excluded","Included"
"15","Plasma NFL, GFAP, sTREM2, pTau231, and clinical severity in progressive supranuclear palsy.","Excluded","Included"
"16","Identification of lactylation-related biomarkers in osteoporosis from transcriptome and single-cell data.","Excluded","Included"
"17","Performance of fasting plasma glucose for community-based screening of undiagnosed diabetes and pre-diabetes in sub-Saharan Africa.","Included","Excluded"
"18","Renal and Peripheral Blood Transcriptome Signatures That Predict Treatment Response in Proliferative Lupus Nephritis-A Prospective Study.","Excluded","Included"
"19","Machine Learning-Based identification of resistance genes associated with sunflower broomrape.","Included","Excluded"
"20","Validation of Phase Angle Cutoff Values Derived From Bioelectrical Impedance Analysis for Sarcopenia Screening in Community-Dwelling Older Korean Adults.","Excluded","Included"
"21","Clinical study of intelligent tongue diagnosis and oral microbiome for classifying TCM syndromes in MASLD.","Excluded","Included"
"22","Psychometric properties of the Federal Unit Scale for general psychopathology screening without iatrogenic effects.","Excluded","Included"
"23","DTG: Dual transformers-based generative adversarial networks for retinal 2D/3D OCT image classification.","Excluded","Included"
"24","Predictions of the Chinese Forest Frog (Rana chensinensis) Distribution Pattern Under Climate Change up to 2090s.","Included","Excluded"
"25","Inner and outer retinal abnormalities detected in Alzheimer's disease subjects diagnosed by amyloid PET not revealed when classified based on clinical criteria.","Included","Excluded"
"26","Increased transmembrane protein 119 (TMEM119) levels in the cerebrospinal fluid of patients with mild cognitive impairment due to Alzheimer's disease suggest early microglial involvement.","Excluded","Included"
"27","Anti-HBc IgM associates with acute flare and HBeAg/HBsAg loss in chronic hepatitis B patients with acute exacerbation.","Excluded","Included"
"28","The correlation between TyG-BMI and the risk of osteoporosis in middle-aged and elderly patients with type 2 diabetes mellitus.","Excluded","Included"
"29","Psychometric Properties of the Social Responsiveness Scale 2nd Edition (SRS-2) and Development of a Short Version in a Spanish Sample.","Excluded","Included"
"30","Downregulation of spermatogenesis-associated transcripts in the spermatozoa of idiopathic infertile men.","Excluded","Included"
"31","Forecasting framework for dominant SARS-CoV-2 strains before clade replacement using phylogeny-informed genetic distances.","Excluded","Included"
"32","The two cut-offs approach for plasma p-tau217 in detecting Alzheimer's disease in subjective cognitive decline and mild cognitive impairment.","Excluded","Included"
"33","Adiponectin and HMW Oligomers in Relation to Inflammatory Markers in Crohn's Disease Patients.","Excluded","Included"
"34","Characterization of a Duodenal Propagating Wave Identified on High-Resolution Antroduodenal Manometry During the Digestive Phase.","Excluded","Included"
"35","Metabolomic patterns in fatal carbon monoxide poisoning: A forensic toxicology perspective.","Included","Excluded"
"36","Bioinformatics reveals TNFAIP6 as a candidate gene and suggests its potential crosstalk in the treatment of hemodialysis in chronic kidney disease.","Included","Excluded"
"37","The Proteome Profile of Stress Test Assessed Cardiovascular Disease Risk-Prone Diabetic Subjects.","Excluded","Included"
